"Additional file 5. COGs present in E. faecium and absent from E. faecalis",
,
,,,"Locus tags",,,,,,
"COG","COG functional categorya","COG annotation","E980","E1039","E1071","E1162","E1636","E1679","U0317"
"COG0156","H","7-keto-8-aminopelargonate synthetase and related enzymes","EfmE980_0315","EfmE1039_0840","EfmE1071_2377","EfmE1162_0028","EfmE1636_2619","EfmE1679_0766","EfmU0317_1635"
"COG0163","H","3-polyprenyl-4-hydroxybenzoate decarboxylase","EfmE980_2588","EfmE1039_1638","EfmE1071_1203","EfmE1162_1473","EfmE1636_0088","EfmE1679_3038","EfmU0317_2605"
"COG0347","E","Nitrogen regulatory protein PII","EfmE980_1583","EfmE1039_1527","EfmE1071_1875","EfmE1162_0633","EfmE1636_1781","EfmE1679_0912","EfmU0317_0468"
"COG0367","E","Asparagine synthase (glutamine-hydrolyzing)","EfmE980_0455","EfmE1039_1290","EfmE1071_0252","EfmE1162_0062","EfmE1636_0341","EfmE1679_1739","EfmU0317_0135"
"COG0386","O","Glutathione peroxidase","EfmE980_2078","EfmE1039_1867","EfmE1071_0776","EfmE1162_2268","EfmE1636_0657","EfmE1679_1543","EfmU0317_1913"
"COG0428","P","Predicted divalent heavy-metal cations transporter","EfmE980_2051","EfmE1039_1877","EfmE1071_0774","EfmE1162_0500","EfmE1636_0600","EfmE1679_1230","EfmU0317_0888"
"COG0599","S","Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit","EfmE980_0461","EfmE1039_1472","EfmE1071_0258","EfmE1162_0533","EfmE1636_0348","EfmE1679_2484","EfmU0317_0129"
"COG0600","S","ABC-type nitrate/sulfonate/bicarbonate transport system, permease component","EfmE980_0119","EfmE1039_2100","EfmE1071_0933","EfmE1162_2140","EfmE1636_2290","EfmE1679_2066","EfmU0317_2843"
"COG0616","OU","Periplasmic serine proteases (ClpP class)","EfmE980_1630","EfmE1039_2438","EfmE1071_0884","EfmE1162_0484","EfmE1636_0264","EfmE1679_0295","EfmU0317_2666"
"COG0661","R","Predicted unusual protein kinase","EfmE980_2729","EfmE1039_2191","EfmE1071_0612","EfmE1162_0910","EfmE1636_1207","EfmE1679_0663","EfmU0317_1227"
"COG0667","C","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)","EfmE980_1149","EfmE1039_0196","EfmE1071_0007","EfmE1162_1343","EfmE1636_0308","EfmE1679_1632","EfmU0317_1603"
,,,"EfmE980_1937","EfmE1039_2268","EfmE1071_1305","EfmE1162_1303","EfmE1636_1808","EfmE1679_0966","EfmU0317_0282"
"COG0679","R","Predicted permeases","EfmE980_1270","EfmE1039_0214","EfmE1071_2102","EfmE1162_2500","EfmE1636_2675","EfmE1679_2674","EfmU0317_0665"
"COG0702","MG","Predicted nucleoside-diphosphate-sugar epimerases","EfmE980_2757","EfmE1039_1328","EfmE1071_0302","EfmE1162_1808","EfmE1636_0566","EfmE1679_0792","EfmU0317_0355"
,,,"EfmE980_2521","EfmE1039_0979","EfmE1071_2577","EfmE1162_1903","EfmE1636_1560","EfmE1679_1132","EfmU0317_1732"
"COG0714","R","MoxR-like ATPases","EfmE980_1308","EfmE1039_1159","EfmE1071_1372","EfmE1162_0873","EfmE1636_2442","EfmE1679_2358","EfmU0317_1285"
"COG0715","R","ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components","EfmE980_0119","EfmE1039_2102","EfmE1071_0932","EfmE1162_2141","EfmE1636_2290","EfmE1679_2065","EfmU0317_2842"
"COG0824","R","Predicted thioesterase","EfmE980_2037","EfmE1039_2243","EfmE1071_0549","EfmE1162_0972","EfmE1636_2206","EfmE1679_2297","EfmU0317_0252"
"COG0860","M","N-acetylmuramoyl-L-alanine amidase","EfmE980_0851","EfmE1039_0504","EfmE1071_1565","EfmE1162_0743","EfmE1636_0507","EfmE1679_0403","EfmU0317_2086"
"COG1055","P","Na+/H+ antiporter NhaD and related arsenite permeases","EfmE980_2172","EfmE1039_1526","EfmE1071_1876","EfmE1162_0634","EfmE1636_1782","EfmE1679_0913","EfmU0317_0467"
"COG1129","G","ABC-type sugar transport system, ATPase component","EfmE980_1723","EfmE1039_0255","EfmE1071_2141","EfmE1162_2459","EfmE1636_1990","EfmE1679_0319","EfmU0317_2731"
"COG1154","HI","Deoxyxylulose-5-phosphate synthase","EfmE980_0697","EfmE1039_0186","EfmE1071_2502","EfmE1162_1208","EfmE1636_0215","EfmE1679_0959","EfmU0317_1784"
"COG1230","P","Co/Zn/Cd efflux system component","EfmE980_2210","EfmE1039_0632","EfmE1071_2073","EfmE1162_2009","EfmE1636_1396","EfmE1679_1896","EfmU0317_0903"
"COG1416","S","Uncharacterized conserved protein","EfmE980_1995","EfmE1039_2332","EfmE1071_1243","EfmE1162_1512","EfmE1636_2477","EfmE1679_2187","EfmU0317_2048"
"COG1619","V","Uncharacterized proteins, homologs of microcin C7 resistance protein MccF","EfmE980_0394","EfmE1039_1971","EfmE1071_0920","EfmE1162_0838","EfmE1636_0045","EfmE1679_0981","EfmU0317_0996"
"COG1636","S","Uncharacterized protein conserved in bacteria","EfmE980_1247","EfmE1039_0698","EfmE1071_0461","EfmE1162_1685","EfmE1636_1418","EfmE1679_2873","EfmU0317_2885"
"COG1714","S","Predicted membrane protein/domain","EfmE980_1629","EfmE1039_2437","EfmE1071_1185","EfmE1162_0485","EfmE1636_0263","EfmE1679_0294","EfmU0317_2665"
"COG1721","R","Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain)","EfmE980_1310","EfmE1039_1161","EfmE1071_1374","EfmE1162_0872","EfmE1636_2440","EfmE1679_2360","EfmU0317_1283"
"COG1752","R","Predicted esterase of the alpha-beta hydrolase superfamily","EfmE980_2381","EfmE1039_1032","EfmE1071_2630","EfmE1162_2418","EfmE1636_1007","EfmE1679_1478","EfmU0317_2915"
"COG1794","M","Aspartate racemase","EfmE980_1646","EfmE1039_2582","EfmE1071_0897","EfmE1162_0823","EfmE1636_2541","EfmE1679_0309","EfmU0317_1014"
"COG1811","R","Uncharacterized membrane protein, possible Na channel or pump","EfmE980_2595","EfmE1039_1646","EfmE1071_1196","EfmE1162_1466","EfmE1636_0080","EfmE1679_2402","EfmU0317_2612"
"COG1866","C","Phosphoenolpyruvate carboxykinase (ATP)","EfmE980_1181","EfmE1039_0114","EfmE1071_0058","EfmE1162_2233","EfmE1636_0025","EfmE1679_0257","EfmU0317_2806"
"COG1896","R","Predicted hydrolases of HD superfamily","EfmE980_0277","EfmE1039_0868","EfmE1071_2405","EfmE1162_0056","EfmE1636_2648","EfmE1679_1608","EfmU0317_1158"
"COG1902","C","NADH:flavin oxidoreductases, Old Yellow Enzyme family","EfmE980_1986","EfmE1039_2323","EfmE1071_1252","EfmE1162_1407","EfmE1636_1342","EfmE1679_1442","EfmU0317_2961"
"COG1917","S","Uncharacterized conserved protein, contains double-stranded beta-helix domain","EfmE980_0460","EfmE1039_1473","EfmE1071_0257","EfmE1162_0532","EfmE1636_0347","EfmE1679_2485","EfmU0317_0130"
"COG1972","F","Nucleoside permease","EfmE980_0738","EfmE1039_0146","EfmE1071_2464","EfmE1162_0355","EfmE1636_1307","EfmE1679_2756","EfmU0317_0191"
"COG2035","S","Predicted membrane protein","EfmE980_0039","EfmE1039_2018","EfmE1071_0830","EfmE1162_2060","EfmE1636_0959","EfmE1679_1110","EfmU0317_1957"
"COG2124","Q","Cytochrome P450","EfmE980_1148","EfmE1039_1635","EfmE1071_0008","EfmE1162_1344","EfmE1636_0307","EfmE1679_1633","EfmU0317_1602"
"COG2153","R","Predicted acyltransferase","EfmE980_2402","EfmE1039_1011","EfmE1071_2609","EfmE1162_1775","EfmE1636_1029","EfmE1679_1164","EfmU0317_2353"
"COG2160","G","L-arabinose isomerase","EfmE980_1218","EfmE1039_0669","EfmE1071_0489","EfmE1162_1655","EfmE1636_0404","EfmE1679_1988","EfmU0317_2366"
"COG2186","K","Transcriptional regulators","EfmE980_1938","EfmE1039_2270","EfmE1071_1304","EfmE1162_1304","EfmE1636_1807","EfmE1679_0965","EfmU0317_0283"
"COG2211","G","Na+/melibiose symporter and related transporters","EfmE980_1169","EfmE1039_0127","EfmE1071_0070","EfmE1162_2245","EfmE1636_0680","EfmE1679_0269","EfmU0317_2794"
"COG2249","R","Putative NADPH-quinone reductase (modulator of drug activity B)","EfmE980_1171","EfmE1039_0125","EfmE1071_0068","EfmE1162_2243","EfmE1636_0682","EfmE1679_0267","EfmU0317_2796"
"COG2949","S","Uncharacterized membrane protein","EfmE980_1106","EfmE1039_1223","EfmE1071_2512","EfmE1162_1198","EfmE1636_0205","EfmE1679_1098","EfmU0317_2228"
"COG3001","G","Fructosamine-3-kinase","EfmE980_0197","EfmE1039_2511","EfmE1071_0435","EfmE1162_0411","EfmE1636_1823","EfmE1679_2791","EfmU0317_1870"
"COG3270","S","Uncharacterized conserved protein","EfmE980_0930","EfmE1039_0330","EfmE1071_2705","EfmE1162_1284","EfmE1636_1931","EfmE1679_0677","EfmU0317_0553"
"COG3345","G","Alpha-galactosidase","EfmE980_1602","EfmE1039_1505","EfmE1071_1893","EfmE1162_0652","EfmE1636_1801","EfmE1679_0932","EfmU0317_0449"
"COG3382","S","Uncharacterized conserved protein","EfmE980_1980","EfmE1039_2317","EfmE1071_1262","EfmE1162_1397","EfmE1636_1907","EfmE1679_0789","EfmU0317_0009"
"COG3479","Q","Phenolic acid decarboxylase","EfmE980_2578","EfmE1039_2365","EfmE1071_1210","EfmE1162_1480","EfmE1636_0095","EfmE1679_2226","EfmU0317_2598"
"COG3544","S","Uncharacterized protein conserved in bacteria","EfmE980_0001","EfmE1039_1425","EfmE1071_0140","EfmE1162_0175","EfmE1636_2876","EfmE1679_2827","EfmU0317_0556"
"COG3559","M","Putative exporter of polyketide antibiotics","EfmE980_2015","EfmE1039_2347","EfmE1071_1228","EfmE1162_1497","EfmE1636_0112","EfmE1679_2201","EfmU0317_2034"
"COG3590","O","Predicted metalloendopeptidase","EfmE980_1058","EfmE1039_1117","EfmE1071_1822","EfmE1162_2192","EfmE1636_1138","EfmE1679_2273","EfmU0317_2127"
"COG3619","S","Predicted membrane protein","EfmE980_2624","EfmE1039_2380","EfmE1071_2673","EfmE1162_0227","EfmE1636_1363","EfmE1679_2315","EfmU0317_2592"
"COG3634","O","Alkyl hydroperoxide reductase, large subunit","EfmE980_0709","EfmE1039_0174","EfmE1071_2491","EfmE1162_0382","EfmE1636_1336","EfmE1679_2728","EfmU0317_1773"
"COG3655","K","Predicted transcriptional regulator","EfmE980_1100","EfmE1039_1225","EfmE1071_1609","EfmE1162_1195","EfmE1636_0201","EfmE1679_1096","EfmU0317_2226"
"COG3760","S","Uncharacterized conserved protein","EfmE980_0395","EfmE1039_0719","EfmE1071_0305","EfmE1162_0839","EfmE1636_0046","EfmE1679_0982","EfmU0317_0995"
